direction_a,direction_b,author_count,pair,pair_short
基座模型,推理/RL,150,基座模型 × 推理/RL,基座 × 推理
基座模型,系统,45,基座模型 × 系统,基座 × 系统
基座模型,代码,41,基座模型 × 代码,基座 × 代码
代码,推理/RL,40,代码 × 推理/RL,代码 × 推理
系统,推理/RL,36,系统 × 推理/RL,系统 × 推理
基座模型,数学,35,基座模型 × 数学,基座 × 数学
基座模型,多模态,34,基座模型 × 多模态,基座 × 多模态
多模态,推理/RL,29,多模态 × 推理/RL,多模态 × 推理
数学,推理/RL,29,数学 × 推理/RL,数学 × 推理
系统,代码,20,系统 × 代码,系统 × 代码
数学,代码,18,数学 × 代码,数学 × 代码
多模态,代码,15,多模态 × 代码,多模态 × 代码
系统,多模态,11,系统 × 多模态,系统 × 多模态
系统,数学,8,系统 × 数学,系统 × 数学
数学,多模态,5,数学 × 多模态,数学 × 多模态
基座模型,OCR,3,基座模型 × OCR,基座 × OCR
OCR,推理/RL,2,OCR × 推理/RL,OCR × 推理
多模态,OCR,2,多模态 × OCR,多模态 × OCR
代码,OCR,1,代码 × OCR,代码 × OCR
数学,OCR,1,数学 × OCR,数学 × OCR
系统,OCR,1,系统 × OCR,系统 × OCR
