author_name,paper_count,direction_count,directions,is_highlighted
Yukun Li,14,7,基座模型、系统、数学、多模态、代码、OCR、推理/RL,True
Chong Ruan,18,6,基座模型、系统、数学、多模态、代码、推理/RL,True
Yu Wu,13,6,基座模型、系统、数学、多模态、代码、推理/RL,False
Zhenda Xie,16,5,基座模型、系统、多模态、代码、推理/RL,False
Damai Dai,14,5,基座模型、系统、多模态、代码、推理/RL,False
Huazuo Gao,12,5,基座模型、系统、多模态、代码、推理/RL,False
Chengqi Deng,11,5,基座模型、系统、多模态、代码、推理/RL,False
Liyue Zhang,11,5,基座模型、系统、数学、代码、推理/RL,False
Runxin Xu,11,5,基座模型、系统、数学、代码、推理/RL,False
Shirong Ma,11,5,基座模型、系统、数学、代码、推理/RL,False
Bingxuan Wang,10,5,基座模型、系统、多模态、代码、推理/RL,False
Fuli Luo,8,5,基座模型、系统、数学、代码、推理/RL,True
Wenfeng Liang,13,4,基座模型、系统、代码、推理/RL,True
Qihao Zhu,12,4,基座模型、数学、代码、推理/RL,False
Zhihong Shao,12,4,基座模型、数学、代码、推理/RL,False
Daya Guo,11,4,基座模型、数学、代码、推理/RL,True
Xingkai Yu,11,4,基座模型、系统、多模态、推理/RL,False
Chenggang Zhao,10,4,基座模型、系统、代码、推理/RL,False
Dejian Yang,10,4,基座模型、数学、代码、推理/RL,False
Jiashi Li,10,4,基座模型、系统、代码、推理/RL,False
Junxiao Song,10,4,基座模型、数学、代码、推理/RL,False
Kai Dong,10,4,基座模型、多模态、代码、推理/RL,False
Wangding Zeng,10,4,基座模型、系统、代码、推理/RL,False
Yaofeng Sun,10,4,基座模型、多模态、OCR、推理/RL,False
Deli Chen,9,4,基座模型、系统、代码、推理/RL,False
Peiyi Wang,9,4,基座模型、数学、代码、推理/RL,False
Wenjun Gao,9,4,基座模型、数学、代码、推理/RL,False
Xiao Bi,9,4,基座模型、数学、代码、推理/RL,False
Hanwei Xu,8,4,基座模型、多模态、代码、推理/RL,False
Haowei Zhang,8,4,基座模型、数学、多模态、推理/RL,False
Kang Guan,8,4,基座模型、多模态、代码、推理/RL,False
Liang Zhao,8,4,基座模型、系统、多模态、推理/RL,False
Qiushi Du,8,4,基座模型、数学、代码、推理/RL,False
Wentao Zhang,8,4,基座模型、系统、代码、推理/RL,False
Xin Xie,8,4,基座模型、多模态、代码、推理/RL,False
Yishi Piao,8,4,基座模型、多模态、代码、推理/RL,False
Yuxiang You,8,4,基座模型、多模态、代码、推理/RL,False
Yuxuan Liu,8,4,基座模型、系统、数学、推理/RL,False
Zhewen Hao,8,4,基座模型、系统、代码、推理/RL,False
Zhibin Gou,8,4,基座模型、数学、代码、推理/RL,False
Qinyu Chen,7,4,基座模型、系统、代码、推理/RL,False
Zhuoshu Li,7,4,基座模型、系统、多模态、推理/RL,False
Aixin Liu,6,4,基座模型、多模态、代码、推理/RL,False
Wen Liu,10,3,基座模型、多模态、推理/RL,False
Panpan Huang,9,3,基座模型、系统、推理/RL,False
Shangyan Zhou,9,3,基座模型、系统、推理/RL,False
Xiaokang Chen,8,3,基座模型、多模态、推理/RL,False
Guanting Chen,7,3,基座模型、代码、推理/RL,False
Jingyang Yuan,7,3,基座模型、系统、推理/RL,False
Lean Wang,7,3,基座模型、系统、推理/RL,False
Mingchuan Zhang,7,3,基座模型、数学、推理/RL,False
Shunfeng Zhou,7,3,基座模型、系统、推理/RL,False
Xingchao Liu,7,3,基座模型、多模态、推理/RL,False
Yaohui Wang,7,3,基座模型、代码、推理/RL,False
Ying He,7,3,基座模型、系统、推理/RL,False
