author,paper_count,topic_count,first_seen,last_seen,topics,主模型,系统/效率,多模态,数学/证明,代码,推理/RL,OCR,chinese_name,chinese_name_status,departed,school_badge,display_name
Chong Ruan,18,6,2024-01,2026-05,主模型、系统/效率、多模态、数学/证明、代码、推理/RL,5,3,4,3,1,2,0,阮翀,已核验,True,北大,Chong Ruan（阮翀）*
Zhenda Xie,16,5,2024-01,2026-05,主模型、系统/效率、多模态、代码、推理/RL,5,4,4,0,2,1,0,解振达,已核验,False,清华,Zhenda Xie（解振达）
Yukun Li,14,7,2024-01,2026-05,主模型、系统/效率、多模态、数学/证明、代码、推理/RL、OCR,5,2,1,1,2,1,2,李宇琨,用户确认,False,,Yukun Li（李宇琨）
Damai Dai,14,5,2024-01,2026-05,主模型、系统/效率、多模态、代码、推理/RL,5,6,1,0,1,1,0,代达劢,已核验,False,北大,Damai Dai（代达劢）
Yu Wu,13,6,2024-01,2026-05,主模型、系统/效率、多模态、数学/证明、代码、推理/RL,5,2,1,1,2,2,0,吴俣,用户确认,False,北航,Yu Wu（吴俣）
Wenfeng Liang,13,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,5,5,0,0,2,1,0,梁文锋,已核验,False,浙大,Wenfeng Liang（梁文锋）
Huazuo Gao,12,5,2024-01,2026-05,主模型、系统/效率、多模态、代码、推理/RL,5,4,1,0,1,1,0,高华佐,已核验,False,北大,Huazuo Gao（高华佐）
Qihao Zhu,12,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,4,2,1,0,朱琪豪,用户确认,False,北大,Qihao Zhu（朱琪豪）
Zhihong Shao,12,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,5,1,1,0,邵智宏,已核验,False,清华,Zhihong Shao（邵智宏）
Chengqi Deng,11,5,2024-01,2026-05,主模型、系统/效率、多模态、代码、推理/RL,5,3,1,0,1,1,0,邓乘奇,用户确认,False,浙大,Chengqi Deng（邓乘奇）
Liyue Zhang,11,5,2024-01,2026-05,主模型、系统/效率、数学/证明、代码、推理/RL,5,2,0,2,1,1,0,张力越,用户确认,False,中山,Liyue Zhang（张力越）
Runxin Xu,11,5,2024-01,2026-05,主模型、系统/效率、数学/证明、代码、推理/RL,5,2,0,1,1,2,0,许润昕,用户确认,False,北大,Runxin Xu（许润昕）
Shirong Ma,11,5,2024-01,2026-05,主模型、系统/效率、数学/证明、代码、推理/RL,5,1,0,2,1,2,0,,未找到可靠公开中文名,False,清华,Shirong Ma
Daya Guo,11,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,3,2,1,0,郭达雅,已核验,True,中山,Daya Guo（郭达雅）*
Xingkai Yu,11,4,2024-01,2026-05,主模型、系统/效率、多模态、推理/RL,5,2,3,0,0,1,0,俞星凯,用户确认,False,南大,Xingkai Yu（俞星凯）
Bingxuan Wang,10,5,2024-01,2026-05,主模型、系统/效率、多模态、代码、推理/RL,5,1,2,0,1,1,0,王炳宣,已核验,True,北大,Bingxuan Wang（王炳宣）*
Chenggang Zhao,10,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,5,3,0,0,1,1,0,赵成刚,已核验,False,清华,Chenggang Zhao（赵成刚）
Dejian Yang,10,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,2,2,1,0,杨德健,待复核,False,北航,Dejian Yang
Jiashi Li,10,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,5,3,0,0,1,1,0,李嘉实,媒体来源,False,北大,Jiashi Li
Junxiao Song,10,4,2024-01,2026-05,主模型、数学/证明、代码、推理/RL,5,0,0,3,1,1,0,宋俊潇,已核验,False,港科大,Junxiao Song（宋俊潇）
Kai Dong,10,4,2024-01,2026-05,主模型、多模态、代码、推理/RL,5,0,2,0,2,1,0,,未找到可靠公开中文名,False,,Kai Dong
Wangding Zeng,10,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,4,4,0,0,1,1,0,曾旺丁,用户确认,False,北邮,Wangding Zeng（曾旺丁）
Yaofeng Sun,10,4,2024-01,2026-05,主模型、多模态、推理/RL、OCR,5,0,2,0,0,1,2,孙耀峰,用户确认,False,北大,Yaofeng Sun（孙耀峰）
Wen Liu,10,3,2024-01,2026-05,主模型、多模态、推理/RL,5,0,4,0,0,1,0,刘闻,用户确认,False,上科大,Wen Liu（刘闻）
Deli Chen,9,4,2024-01,2026-05,主模型、系统/效率、代码、推理/RL,5,2,0,0,1,1,0,陈德里,用户确认,False,北大,Deli Chen（陈德里）
