author,chinese_name,confirmed_school,user_update_note,current_rank,paper_count,topic_count,in_current_top25
Yukun Li,李宇琨,,用户于2026-05-09手动核验补充,4,14,7,True
Yu Wu,吴俣,,用户于2026-05-09手动核验补充,6,13,6,True
Chengqi Deng,邓乘奇,浙江大学,用户于2026-05-09手动核验补充,10,11,5,True
Liyue Zhang,张力越,中山大学,用户于2026-05-09手动核验补充,12,11,5,True
Xingkai Yu,俞星凯,南京大学,用户于2026-05-09手动核验补充,15,11,4,True
Jiashi Li,,北京大学,用户于2026-05-09手动核验补充,19,10,4,True
Yaofeng Sun,孙耀峰,北京大学,用户于2026-05-09手动核验补充,24,10,4,True
Wen Liu,刘闻,,用户于2026-05-09手动核验补充,23,10,3,True
Runxin Xu,许润昕,,用户于2026-05-09手动核验补充,13,11,5,True
Deli Chen,陈德里,,用户于2026-05-09手动核验补充,25,9,4,True
Qihao Zhu,朱琪豪,,用户于2026-05-09手动核验补充,8,12,4,True
Wangding Zeng,曾旺丁,,用户于2026-05-09手动核验补充,22,10,4,True
Wenjun Gao,,上海交通大学,用户于2026-05-09手动核验补充,29,9,4,False
