author,paper_count,topic_count,community,cluster_label,degree_in_demo,weighted_degree_in_demo,is_cross_direction_hub,is_labeled
Aixin Liu,6,4,1,基模大兵团,9,0.3935903795490714,True,True
Bing Xue,4,2,1,基模大兵团,27,0.580539774759949,False,False
Bingxuan Wang,10,5,1,基模大兵团,87,4.430357811877205,True,True
Bo Liu,5,3,1,基模大兵团,7,0.8404669414935786,True,True
Bochao Wu,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Chengda Lu,5,3,6,垂类数学小队,5,0.7077346966032734,True,True
Chenggang Zhao,10,4,1,基模大兵团,49,2.9013598925442534,True,True
Chengqi Deng,11,5,1,基模大兵团,10,1.3746411918287564,True,True
Chengyue Wu,2,1,4,多模态小队,2,0.27692307692307694,False,False
Chong Ruan,18,6,4,多模态小队,31,6.326920226276293,True,True
Damai Dai,14,5,2,系统效率小队,22,4.936313687517288,True,True
Daya Guo,11,4,3,数学与推理小队,10,1.9481899428207923,True,True
Dejian Yang,10,4,3,数学与推理小队,11,1.7790081435069092,True,True
Deli Chen,9,4,2,系统效率小队,4,1.1046450402809775,True,True
Erhang Li,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Fangyun Lin,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Fucong Dai,4,2,1,基模大兵团,2,0.04383213367486632,False,False
Fuli Luo,8,5,3,数学与推理小队,2,0.4135412194909354,False,False
Guangbo Hao,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Guanting Chen,7,3,3,数学与推理小队,2,0.25289613663454075,False,False
Guowei Li,6,2,1,基模大兵团,2,0.08622946996787409,False,False
H. Zhang,4,2,1,基模大兵团,2,0.05523737163600403,False,False
Han Zhang,2,2,2,系统效率小队,2,0.16130884041331803,False,False
Hanwei Xu,8,4,1,基模大兵团,2,0.2817181917723854,False,False
Hao Yang,2,2,1,基模大兵团,2,0.16172506738544473,False,False
Haocheng Wang,4,3,3,数学与推理小队,2,0.269492696407422,False,False
Haoran Wei,4,2,7,OCR视觉小队,2,2.016986496090974,False,False
Haowei Zhang,8,4,2,系统效率小队,3,0.5062672818748881,True,True
Haoyu Lu,2,2,1,基模大兵团,2,0.16638655462184873,False,False
Honghui Ding,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Hongxuan Tang,3,2,3,数学与推理小队,2,0.1346335549145031,False,False
Huajian Xin,6,3,3,数学与推理小队,2,0.5383606209357239,False,False
Huanqi Cao,3,2,1,基模大兵团,2,0.12224965398571053,False,False
Huazuo Gao,12,5,2,系统效率小队,7,1.539457046897798,True,True
Hui Qu,6,2,1,基模大兵团,2,0.08622946996787409,False,False
Jianzhong Guo,4,2,1,基模大兵团,2,0.06924297387690038,False,False
Jiashi Li,10,4,1,基模大兵团,2,0.5119813496671223,False,False
