source,target,weight_shared_papers,topics,papers
Chong Ruan,Zhenda Xie,8,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL；DeepSeek-VL2；DeepSeekMoE；Janus；Janus-Pro；Native Sparse Attention
Damai Dai,Huazuo Gao,7,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE；Insights into DeepSeek-V3；Native Sparse Attention；mHC
Damai Dai,Wenfeng Liang,7,主模型、代码、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；Native Sparse Attention；mHC
Damai Dai,Zhenda Xie,7,主模型、代码、多模态、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE；Native Sparse Attention；mHC
Wenfeng Liang,Zhenda Xie,7,主模型、代码、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeekMoE；Native Sparse Attention；mHC
Chong Ruan,Damai Dai,6,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE；Insights into DeepSeek-V3；Native Sparse Attention
Chong Ruan,Huazuo Gao,6,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE；Insights into DeepSeek-V3；Native Sparse Attention
Daya Guo,Qihao Zhu,6,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-Prover；DeepSeek-Prover-V2；DeepSeekMath
Huazuo Gao,Wenfeng Liang,6,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；Native Sparse Attention；mHC
Huazuo Gao,Zhenda Xie,6,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE；Native Sparse Attention；mHC
Qihao Zhu,Zhihong Shao,6,主模型、代码、数学/证明,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-Prover；DeepSeek-Prover-V1.5；DeepSeek-Prover-V2；DeepSeekMath
Runxin Xu,Yu Wu,6,主模型、代码、推理/RL、数学/证明、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMath；DeepSeekMoE；ESFT；Generalist Reward Modeling
Xingkai Yu,Zhenda Xie,6,主模型、多模态、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-VL2；DeepSeekMoE；Janus；Janus-Pro
Yu Wu,Yukun Li,6,主模型、代码、多模态、数学/证明、系统/效率,DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMath；DeepSeekMoE
Yukun Li,Zhenda Xie,6,主模型、代码、多模态、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder；DeepSeek-Coder-V2；DeepSeek-VL2；DeepSeekMoE
Bingxuan Wang,Zhenda Xie,5,主模型、代码、多模态、系统/效率,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL；DeepSeek-VL2
Chenggang Zhao,Chengqi Deng,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chenggang Zhao,Damai Dai,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chenggang Zhao,Huazuo Gao,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chenggang Zhao,Jiashi Li,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chenggang Zhao,Wenfeng Liang,5,主模型、代码、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chengqi Deng,Chong Ruan,5,主模型、代码、多模态、系统/效率,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-VL；DeepSeekMoE；Insights into DeepSeek-V3
