author,paper_count,topic_count,first_seen,last_seen,is_high_freq_ge4,degree,weighted_degree
Chong Ruan,18,6,2024-01,2026-05,TRUE,63,208
Zhenda Xie,16,5,2024-01,2026-05,TRUE,58,186
Damai Dai,14,5,2024-01,2026-05,TRUE,48,154
Yukun Li,14,7,2024-01,2026-05,TRUE,44,139
Wenfeng Liang,13,4,2024-01,2026-05,TRUE,46,143
Yu Wu,13,6,2024-01,2026-05,TRUE,42,133
Huazuo Gao,12,5,2024-01,2026-05,TRUE,47,142
Qihao Zhu,12,4,2024-01,2026-05,TRUE,45,129
Zhihong Shao,12,4,2024-01,2026-05,TRUE,43,119
Chengqi Deng,11,5,2024-01,2026-05,TRUE,44,122
Daya Guo,11,4,2024-01,2026-05,TRUE,40,108
Liyue Zhang,11,5,2024-01,2026-05,TRUE,47,122
Runxin Xu,11,5,2024-01,2026-05,TRUE,37,101
Shirong Ma,11,5,2024-01,2026-05,TRUE,39,100
Xingkai Yu,11,4,2024-01,2026-05,TRUE,31,83
Bingxuan Wang,10,5,2024-01,2026-05,TRUE,43,110
Chenggang Zhao,10,4,2024-01,2026-05,TRUE,38,105
Dejian Yang,10,4,2024-01,2026-05,TRUE,43,112
Jiashi Li,10,4,2024-01,2026-05,TRUE,38,105
Junxiao Song,10,4,2024-01,2026-05,TRUE,43,111
Kai Dong,10,4,2024-01,2026-05,TRUE,43,113
Wangding Zeng,10,4,2024-01,2026-05,TRUE,22,60
Wen Liu,10,3,2024-01,2026-05,TRUE,27,69
Yaofeng Sun,10,4,2024-01,2026-05,TRUE,22,51
Deli Chen,9,4,2024-01,2026-05,TRUE,35,85
Panpan Huang,9,3,2024-01,2026-05,TRUE,21,51
Peiyi Wang,9,4,2024-01,2026-05,TRUE,34,80
Shangyan Zhou,9,3,2024-01,2026-05,TRUE,16,40
Wenjun Gao,9,4,2024-01,2026-05,TRUE,41,99
Xiao Bi,9,4,2024-01,2026-05,TRUE,36,89
Fuli Luo,8,5,2024-01,2025-01,TRUE,40,109
Hanwei Xu,8,4,2024-01,2026-05,TRUE,38,81
Haowei Zhang,8,4,2024-01,2026-05,TRUE,23,48
Kang Guan,8,4,2024-01,2026-05,TRUE,37,85
Liang Zhao,8,4,2024-05,2026-05,TRUE,10,23
Qiushi Du,8,4,2024-01,2026-05,TRUE,35,78
Wentao Zhang,8,4,2024-01,2026-05,TRUE,15,30
Xiaokang Chen,8,3,2024-05,2026-05,TRUE,9,25
Xin Xie,8,4,2024-01,2026-05,TRUE,37,85
Yishi Piao,8,4,2024-01,2026-05,TRUE,37,85
Yuxiang You,8,4,2024-01,2026-05,TRUE,37,85
Yuxuan Liu,8,4,2024-05,2026-05,TRUE,5,11
Zhewen Hao,8,4,2024-01,2026-05,TRUE,35,75
Zhibin Gou,8,4,2024-06,2026-05,TRUE,17,44
Guanting Chen,7,3,2024-01,2026-05,TRUE,11,22
Jingyang Yuan,7,3,2024-05,2026-05,TRUE,9,18
Lean Wang,7,3,2024-05,2026-05,TRUE,9,18
Mingchuan Zhang,7,3,2024-01,2026-05,TRUE,10,20
Qinyu Chen,7,4,2024-05,2026-05,TRUE,7,14
Shunfeng Zhou,7,3,2024-01,2026-05,TRUE,4,8
Xingchao Liu,7,3,2024-10,2026-05,TRUE,9,25
Yaohui Wang,7,3,2024-01,2026-05,TRUE,32,64
Ying He,7,3,2024-01,2026-05,TRUE,11,22
Z. Z. Ren,7,3,2024-05,2025-12,TRUE,13,28
Zhe Fu,7,3,2024-01,2026-05,TRUE,9,18
Zhiyu Wu,7,3,2024-10,2026-05,TRUE,9,25
Zizheng Pan,7,3,2024-10,2026-05,TRUE,9,25
Aixin Liu,6,4,2024-05,2025-12,TRUE,12,24
Huajian Xin,6,3,2024-05,2025-04,TRUE,14,31
Yiyang Ma,6,3,2024-10,2026-05,TRUE,9,18
Z. F. Wu,6,3,2024-08,2026-05,TRUE,12,24
Zhengyan Zhang,6,3,2024-12,2026-05,TRUE,9,18
Bo Liu,5,3,2024-01,2024-08,TRUE,21,46
Y. X. Wei,5,3,2024-05,2025-05,TRUE,5,10
Haocheng Wang,4,3,2024-08,2025-04,TRUE,12,24
Haoran Wei,4,2,2025-10,2026-05,TRUE,2,4
Wanjia Zhao,4,3,2024-08,2025-04,TRUE,12,24
Xuan Lu,3,3,2024-05,2024-08,FALSE,10,20
Yuqing Wang,3,1,2025-02,2025-12,FALSE,15,33
Chengyue Wu,2,1,2024-10,2024-12,FALSE,9,18
Haoyu Lu,2,2,2024-01,2024-03,FALSE,11,22
Jingxiang Sun,2,2,2024-01,2024-03,FALSE,11,22
Tongzheng Ren,2,2,2024-01,2024-03,FALSE,11,22
