author,paper_count,topic_count,主模型,代码,数学/证明,多模态,OCR,系统/效率,推理/RL
Chong Ruan,18,6,5,1,3,4,0,3,2
Zhenda Xie,16,5,5,2,0,4,0,4,1
Damai Dai,14,5,5,1,0,1,0,6,1
Yukun Li,14,7,5,2,1,1,2,2,1
Wenfeng Liang,13,4,5,2,0,0,0,5,1
Yu Wu,13,6,5,2,1,1,0,2,2
Huazuo Gao,12,5,5,1,0,1,0,4,1
Qihao Zhu,12,4,5,2,4,0,0,0,1
Zhihong Shao,12,4,5,1,5,0,0,0,1
Chengqi Deng,11,5,5,1,0,1,0,3,1
Daya Guo,11,4,5,2,3,0,0,0,1
Liyue Zhang,11,5,5,1,2,0,0,2,1
Runxin Xu,11,5,5,1,1,0,0,2,2
Shirong Ma,11,5,5,1,2,0,0,1,2
Xingkai Yu,11,4,5,0,0,3,0,2,1
Bingxuan Wang,10,5,5,1,0,2,0,1,1
Chenggang Zhao,10,4,5,1,0,0,0,3,1
Dejian Yang,10,4,5,2,2,0,0,0,1
Jiashi Li,10,4,5,1,0,0,0,3,1
Junxiao Song,10,4,5,1,3,0,0,0,1
Kai Dong,10,4,5,2,0,2,0,0,1
Wangding Zeng,10,4,4,1,0,0,0,4,1
Wen Liu,10,3,5,0,0,4,0,0,1
Yaofeng Sun,10,4,5,0,0,2,2,0,1
Deli Chen,9,4,5,1,0,0,0,2,1
Panpan Huang,9,3,5,0,0,0,0,3,1
Peiyi Wang,9,4,5,1,1,0,0,0,2
Shangyan Zhou,9,3,5,0,0,0,0,3,1
Wenjun Gao,9,4,5,1,2,0,0,0,1
Xiao Bi,9,4,5,2,1,0,0,0,1
Fuli Luo,8,5,3,2,1,0,0,1,1
Hanwei Xu,8,4,5,1,0,1,0,0,1
Haowei Zhang,8,4,5,0,1,1,0,0,1
Kang Guan,8,4,5,1,0,1,0,0,1
Liang Zhao,8,4,4,0,0,1,0,2,1
Qiushi Du,8,4,5,1,1,0,0,0,1
Wentao Zhang,8,4,5,1,0,0,0,1,1
Xiaokang Chen,8,3,4,0,0,3,0,0,1
Xin Xie,8,4,5,1,0,1,0,0,1
Yishi Piao,8,4,5,1,0,1,0,0,1
Yuxiang You,8,4,5,1,0,1,0,0,1
