author,V1/LLM,V2,V3,R1,V3.2,V4,main_model_paper_count
Bingxuan Wang,1,1,1,1,1,1,6
Chenggang Zhao,1,1,1,1,1,1,6
Chengqi Deng,1,1,1,1,1,1,6
Chong Ruan,1,1,1,1,1,1,6
Damai Dai,1,1,1,1,1,1,6
Daya Guo,1,1,1,1,1,1,6
Dejian Yang,1,1,1,1,1,1,6
Deli Chen,1,1,1,1,1,1,6
Erhang Li,1,1,1,1,1,1,6
Fangyun Lin,1,1,1,1,1,1,6
Guangbo Hao,1,1,1,1,1,1,6
Guanting Chen,1,1,1,1,1,1,6
Guowei Li,1,1,1,1,1,1,6
Hanwei Xu,1,1,1,1,1,1,6
Haowei Zhang,1,1,1,1,1,1,6
Honghui Ding,1,1,1,1,1,1,6
Huazuo Gao,1,1,1,1,1,1,6
Hui Qu,1,1,1,1,1,1,6
Jiashi Li,1,1,1,1,1,1,6
Junjie Qiu,1,1,1,1,1,1,6
Junxiao Song,1,1,1,1,1,1,6
Kai Dong,1,1,1,1,1,1,6
Kaige Gao,1,1,1,1,1,1,6
Kang Guan,1,1,1,1,1,1,6
Lecong Zhang,1,1,1,1,1,1,6
Liyue Zhang,1,1,1,1,1,1,6
Mingchuan Zhang,1,1,1,1,1,1,6
Minghua Zhang,1,1,1,1,1,1,6
Minghui Tang,1,1,1,1,1,1,6
Panpan Huang,1,1,1,1,1,1,6
Peiyi Wang,1,1,1,1,1,1,6
Qihao Zhu,1,1,1,1,1,1,6
Qiushi Du,1,1,1,1,1,1,6
Ruiqi Ge,1,1,1,1,1,1,6
Runxin Xu,1,1,1,1,1,1,6
Shanghao Lu,1,1,1,1,1,1,6
Shangyan Zhou,1,1,1,1,1,1,6
Shanhuang Chen,1,1,1,1,1,1,6
Shirong Ma,1,1,1,1,1,1,6
Shiyu Wang,1,1,1,1,1,1,6
Shuiping Yu,1,1,1,1,1,1,6
Shunfeng Zhou,1,1,1,1,1,1,6
Tian Pei,1,1,1,1,1,1,6
Wen Liu,1,1,1,1,1,1,6
Wenfeng Liang,1,1,1,1,1,1,6
Wenjun Gao,1,1,1,1,1,1,6
Wentao Zhang,1,1,1,1,1,1,6
Xiao Bi,1,1,1,1,1,1,6
Xiaodong Liu,1,1,1,1,1,1,6
Xiaotao Nie,1,1,1,1,1,1,6
Xin Liu,1,1,1,1,1,1,6
Xin Xie,1,1,1,1,1,1,6
Xingkai Yu,1,1,1,1,1,1,6
Xuecheng Su,1,1,1,1,1,1,6
Yanhong Xu,1,1,1,1,1,1,6
Yao Li,1,1,1,1,1,1,6
Yao Zhao,1,1,1,1,1,1,6
Yaofeng Sun,1,1,1,1,1,1,6
Yaohui Wang,1,1,1,1,1,1,6
Yichao Zhang,1,1,1,1,1,1,6
Yiliang Xiong,1,1,1,1,1,1,6
Ying He,1,1,1,1,1,1,6
Yishi Piao,1,1,1,1,1,1,6
Yiyuan Liu,1,1,1,1,1,1,6
Yu Wu,1,1,1,1,1,1,6
Yuheng Zou,1,1,1,1,1,1,6
Yukun Li,1,1,1,1,1,1,6
Yuxiang You,1,1,1,1,1,1,6
Zehui Ren,1,1,1,1,1,1,6
Zhangli Sha,1,1,1,1,1,1,6
Zhe Fu,1,1,1,1,1,1,6
Zhenda Xie,1,1,1,1,1,1,6
Zhewen Hao,1,1,1,1,1,1,6
Zhihong Shao,1,1,1,1,1,1,6
Ziwei Xie,1,1,1,1,1,1,6
Jianzhong Guo,1,1,1,1,1,0,5
Jingyang Yuan,0,1,1,1,1,1,5
Lean Wang,0,1,1,1,1,1,5
Liang Zhao,0,1,1,1,1,1,5
Qinyu Chen,0,1,1,1,1,1,5
Ruizhe Pan,0,1,1,1,1,1,5
Wangding Zeng,0,1,1,1,1,1,5
Xiaohan Wang,0,1,1,1,1,1,5
Xiaokang Chen,0,1,1,1,1,1,5
Xinyu Yang,0,1,1,1,1,1,5
Yixuan Tan,0,1,1,1,1,1,5
Yongqiang Guo,0,1,1,1,1,1,5
Yuduan Wang,0,1,1,1,1,1,5
Yuxuan Liu,0,1,1,1,1,1,5
Zhuoshu Li,0,1,1,1,1,1,5
Zihui Gu,0,1,1,1,1,1,5
Zilin Li,0,1,1,1,1,1,5
Aixin Liu,0,1,1,1,1,0,4
Bei Feng,0,1,1,1,1,0,4
Bing Xue,0,0,1,1,1,1,4
Bochao Wu,0,0,1,1,1,1,4
Chengda Lu,0,0,1,1,1,1,4
Dongjie Ji,0,1,1,1,1,0,4
Fucong Dai,0,0,1,1,1,1,4
Fuli Luo,1,1,1,1,0,0,4
H. Zhang,0,1,1,1,1,0,4
Hui Li,0,1,1,1,1,0,4
J. L. Cai,0,1,1,1,1,0,4
