source,target,shared_papers,fractional_weight,papers
Bingxuan Wang,Damai Dai,9,0.18481513984223666,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；DeepSeek-VL2
Bingxuan Wang,Erhang Li,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Fangyun Lin,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Guangbo Hao,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Guowei Li,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Hanwei Xu,8,0.1408590958861927,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；DeepSeek-VL
Bingxuan Wang,Haoyu Lu,2,0.08319327731092437,DeepSeek LLM；DeepSeek-VL
Bingxuan Wang,Honghui Ding,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Hui Qu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Jianzhong Guo,4,0.03462148693845019,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report
Bingxuan Wang,Jingxiang Sun,2,0.08319327731092437,DeepSeek LLM；DeepSeek-VL
Bingxuan Wang,Junjie Qiu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Kaige Gao,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Kang Guan,8,0.10789206291915972,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；DeepSeek-VL2
Bingxuan Wang,Lecong Zhang,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Minghua Zhang,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Minghui Tang,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Ruiqi Ge,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Shanghao Lu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Shanhuang Chen,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Shiyu Wang,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Shuiping Yu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Tian Pei,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Tongzheng Ren,2,0.08319327731092437,DeepSeek LLM；DeepSeek-VL
Bingxuan Wang,Wang Yongji,2,0.021198668146503882,DeepSeek LLM；DeepSeek-V2
Bingxuan Wang,Xiaodong Liu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Xiaotao Nie,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Xin Liu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Xin Xie,8,0.10789206291915972,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；DeepSeek-VL2
Bingxuan Wang,Xuecheng Su,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Yanhong Xu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Yao Li,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Yao Zhao,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Yaohui Wang,7,0.06943052445762124,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Yichao Zhang,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Yiliang Xiong,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Yishi Piao,8,0.10789206291915972,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；DeepSeek-VL2
Bingxuan Wang,Yiyuan Liu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Yuheng Zou,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Yuxiang You,8,0.10789206291915972,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；DeepSeek-VL2
Bingxuan Wang,Zehui Ren,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Zhangli Sha,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Zhenda Xie,10,0.2562437112708081,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；DeepSeek-VL；DeepSeek-VL2
Bingxuan Wang,Zhewen Hao,8,0.1463536013806982,Conditional Memory；DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bingxuan Wang,Ziwei Xie,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Bo Liu,Chong Ruan,5,0.2801272395750753,DeepSeek LLM；DeepSeek-Prover；DeepSeek-Prover-V1.5；DeepSeek-V2；DeepSeek-VL
Bo Liu,Haoyu Lu,2,0.08319327731092437,DeepSeek LLM；DeepSeek-VL
Bo Liu,Jingxiang Sun,2,0.08319327731092437,DeepSeek LLM；DeepSeek-VL
Bo Liu,Qihao Zhu,4,0.2086986681465039,DeepSeek LLM；DeepSeek-Prover；DeepSeek-Prover-V1.5；DeepSeek-V2
Bo Liu,Tongzheng Ren,2,0.08319327731092437,DeepSeek LLM；DeepSeek-VL
Bo Liu,Wang Yongji,2,0.021198668146503882,DeepSeek LLM；DeepSeek-V2
Chenggang Zhao,Chengqi Deng,10,0.25599067483356114,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chenggang Zhao,Damai Dai,10,0.25599067483356114,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chenggang Zhao,Erhang Li,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Fangyun Lin,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Guangbo Hao,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Guowei Li,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Honghui Ding,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Hui Qu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Jianzhong Guo,4,0.03462148693845019,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report
Chenggang Zhao,Jiashi Li,10,0.25599067483356114,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；DeepSeekMoE；Insights into DeepSeek-V3；mHC
Chenggang Zhao,Junjie Qiu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Kaige Gao,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Lecong Zhang,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Minghua Zhang,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Minghui Tang,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Ruiqi Ge,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Shanghao Lu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Shanhuang Chen,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Shiyu Wang,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Shuiping Yu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Tian Pei,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Xiaodong Liu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Xiaotao Nie,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Xin Liu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Xuecheng Su,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Yanhong Xu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Yao Li,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Yao Zhao,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Yaohui Wang,7,0.06943052445762124,DeepSeek LLM；DeepSeek-Coder-V2；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Yichao Zhang,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Yiliang Xiong,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Ying He,7,0.11454330641250846,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4；Insights into DeepSeek-V3
Chenggang Zhao,Yiyuan Liu,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Yuheng Zou,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Zehui Ren,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
Chenggang Zhao,Zhangli Sha,6,0.043114734983937045,DeepSeek LLM；DeepSeek-R1；DeepSeek-V2；DeepSeek-V3 Technical Report；DeepSeek-V3.2；DeepSeek-V4
