paper_id,short_title,stage,year_month,clean_author_name,raw_author_name_from_clean_table,raw_author_name_from_role_list,role_groups,role_groups_zh,is_research_engineering,is_data_annotation,is_business_compliance,is_author_list_only_unspecified,departed_mark,in_clean_author_table,in_role_appendix,role_source_note
2401.02954,DeepSeek LLM,V1/LLM,2024-01,A. X. Liu,A. X. Liu,A. X. Liu,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,B. Zhang,B. Zhang,B. Zhang,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Bingxuan Wang,Bingxuan Wang,Bingxuan Wang,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Bo Liu,Bo Liu,Bo Liu,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Chenggang Zhao,Chenggang Zhao,Chenggang Zhao,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Chengqi Deng,Chengqi Deng,Chengqi Deng,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Chong Ruan,Chong Ruan,Chong Ruan,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Damai Dai,Damai Dai,Damai Dai,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Daya Guo,Daya Guo,Daya Guo,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Dejian Yang,Dejian Yang,Dejian Yang,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Deli Chen,Deli Chen,Deli Chen,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Erhang Li,Erhang Li,Erhang Li,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Fangyun Lin,Fangyun Lin,Fangyun Lin,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Fuli Luo,Fuli Luo,Fuli Luo,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Guangbo Hao,Guangbo Hao,Guangbo Hao,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Guanting Chen,Guanting Chen,Guanting Chen,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Guowei Li,Guowei Li,Guowei Li,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Hanwei Xu,Hanwei Xu,Hanwei Xu,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Haowei Zhang,Haowei Zhang,Haowei Zhang,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Haoyu Lu,Haoyu Lu,Haoyu Lu,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Honghui Ding,Honghui Ding,Honghui Ding,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Huazuo Gao,Huazuo Gao,Huazuo Gao,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Hui Qu,Hui Qu,Hui Qu,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Jianzhong Guo,Jianzhong Guo,Jianzhong Guo,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Jiashi Li,Jiashi Li,Jiashi Li,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Jingxiang Sun,Jingxiang Sun,Jingxiang Sun,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
2401.02954,DeepSeek LLM,V1/LLM,2024-01,Junjie Qiu,Junjie Qiu,Junjie Qiu,Author list only,作者名单（原文未拆角色）,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,LLM paper does not split its 86 paper authors by role; appendix only lists separate acknowledgment teams.
