raw_author_name,clean_author_name,occurrence_count,paper_ids,short_titles
Liu Aixin,Aixin Liu,1,2405.04434,DeepSeek-V2
Feng Bei,Bei Feng,1,2405.04434,DeepSeek-V2
Bingxuan Wang*,Bingxuan Wang,1,V4-PDF,DeepSeek-V4
Wang Bingxuan,Bingxuan Wang,1,2405.04434,DeepSeek-V2
Liu Bo,Bo Liu,1,2405.04434,DeepSeek-V2
Zhao Chenggang,Chenggang Zhao,1,2405.04434,DeepSeek-V2
Dengr Chengqi,Chengqi Deng,1,2405.04434,DeepSeek-V2
Chong Ruan*,Chong Ruan,1,V4-PDF,DeepSeek-V4
Ruan Chong,Chong Ruan,1,2405.04434,DeepSeek-V2
Dai Damai,Damai Dai,1,2405.04434,DeepSeek-V2
Daya Guo*,Daya Guo,1,V4-PDF,DeepSeek-V4
Guo Daya,Daya Guo,1,2405.04434,DeepSeek-V2
Yang Dejian,Dejian Yang,1,2405.04434,DeepSeek-V2
Chen Deli,Deli Chen,1,2405.04434,DeepSeek-V2
Ji Dongjie,Dongjie Ji,1,2405.04434,DeepSeek-V2
Li Erhang,Erhang Li,1,2405.04434,DeepSeek-V2
Lin Fangyun,Fangyun Lin,1,2405.04434,DeepSeek-V2
Luo Fuli,Fuli Luo,1,2405.04434,DeepSeek-V2
Hao Guangbo,Guangbo Hao,1,2405.04434,DeepSeek-V2
Chen Guanting,Guanting Chen,1,2405.04434,DeepSeek-V2
Li Guowei,Guowei Li,1,2405.04434,DeepSeek-V2
Zhang H.,H. Zhang,1,2405.04434,DeepSeek-V2
Xu Hanwei,Hanwei Xu,1,2405.04434,DeepSeek-V2
Yang Hao,Hao Yang,1,2405.04434,DeepSeek-V2
Haoran Wei*,Haoran Wei,1,V4-PDF,DeepSeek-V4
Haowei Zhang*,Haowei Zhang,1,V4-PDF,DeepSeek-V4
Zhang Haowei,Haowei Zhang,1,2405.04434,DeepSeek-V2
Ding Honghui,Honghui Ding,1,2405.04434,DeepSeek-V2
Xin Huajian,Huajian Xin,1,2405.04434,DeepSeek-V2
Gao Huazuo,Huazuo Gao,1,2405.04434,DeepSeek-V2
Li Hui,Hui Li,1,2405.04434,DeepSeek-V2
Qu Hui,Hui Qu,1,2405.04434,DeepSeek-V2
Cai J. L.,J. L. Cai,1,2405.04434,DeepSeek-V2
J.Q. Zhu,J. Q. Zhu,1,V4-PDF,DeepSeek-V4
Liang Jian,Jian Liang,1,2405.04434,DeepSeek-V2
Guo Jianzhong,Jianzhong Guo,1,2405.04434,DeepSeek-V2
Ni Jiaqi,Jiaqi Ni,1,2405.04434,DeepSeek-V2
Li Jiashi,Jiashi Li,1,2405.04434,DeepSeek-V2
Chen Jin,Jin Chen,1,2405.04434,DeepSeek-V2
Yuan Jingyang,Jingyang Yuan,1,2405.04434,DeepSeek-V2
Jun Ran*,Jun Ran,1,V4-PDF,DeepSeek-V4
Qiu Junjie,Junjie Qiu,1,2405.04434,DeepSeek-V2
Junlong Li*,Junlong Li,1,V4-PDF,DeepSeek-V4
Song Junxiao,Junxiao Song,1,2405.04434,DeepSeek-V2
Dong Kai,Kai Dong,1,2405.04434,DeepSeek-V2
Gao Kaige,Kaige Gao,1,2405.04434,DeepSeek-V2
Guan Kang,Kang Guan,1,2405.04434,DeepSeek-V2
Kezhao Huang*,Kezhao Huang,1,V4-PDF,DeepSeek-V4
Wang Lean,Lean Wang,1,2405.04434,DeepSeek-V2
Zhang Lecong,Lecong Zhang,1,2405.04434,DeepSeek-V2
Xu Lei,Lei Xu,1,2405.04434,DeepSeek-V2
Xia Leyi,Leyi Xia,1,2405.04434,DeepSeek-V2
Zhao Liang,Liang Zhao,1,2405.04434,DeepSeek-V2
Zhang Liyue,Liyue Zhang,1,2405.04434,DeepSeek-V2
M.S. Di,M. S. Di,1,V4-PDF,DeepSeek-V4
